Ticker
ACES
ADMR
ADRO
AKRA
AMMN
AMRT
ANTM
ARTO
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BRIS
BRPT
CPIN
CTRA
ESSA
EXCL
GOTO
ICBP
INCO
INDF
INKP
ISAT
ITMG
JPFA
JSMR
KLBF
MAPA
MAPI
MBMA
MDKA
MEDC
PGAS
PGEO
PTBA
SIDO
SMGR
SMRA
TLKM
TOWR
UNTR
UNVR
PTRO
BREN
CUAN
RAJA
PANI
GJTL
ABMM
VKTR
SRTG
BRMS
TBIG
TINS
TKIM
WSKT
WIKA
BUKA
BUMI
HRUM
MNCN
ERAA
HEAL
MYOR
LPKR
LSIP
BFIN
AALI
AUTO
BANK
BTPS
MTEL
DATA
WIFI
INET
EXCL
MORA
